SchoolName,Id,SchoolId,StateId,StateName,StatePrefix,RegionId,RegionName,UniqueId
Balod,1047,805,7,Chhattisgarh,CG,1,Bhopal,1071047
Baloda Bazar,1048,807,7,Chhattisgarh,CG,1,Bhopal,1071048
Balrampur_CG,1050,809,7,Chhattisgarh,CG,1,Bhopal,1071050
Bastar,1070,512,7,Chhattisgarh,CG,1,Bhopal,1071070
Bemetara,1077,812,7,Chhattisgarh,CG,1,Bhopal,1071077
Bijapur,1093,814,7,Chhattisgarh,CG,1,Bhopal,1071093
Bilaspur_CG,1097,515,7,Chhattisgarh,CG,1,Bhopal,1071097
Dantewada,1143,517,7,Chhattisgarh,CG,1,Bhopal,1071143
Dhamtari,1156,519,7,Chhattisgarh,CG,1,Bhopal,1071156
Durg,1174,521,7,Chhattisgarh,CG,1,Bhopal,1071174
Gariaband,1210,817,7,Chhattisgarh,CG,1,Bhopal,1071210
Janjgir-Champa,1267,523,7,Chhattisgarh,CG,1,Bhopal,1071267
Jashpur,1268,525,7,Chhattisgarh,CG,1,Bhopal,1071268
Kabirdham (Formaerly Kawardha),1283,528,7,Chhattisgarh,CG,1,Bhopal,1071283
Kanker,1291,530,7,Chhattisgarh,CG,1,Bhopal,1071291
Kondagaon,1333,819,7,Chhattisgarh,CG,1,Bhopal,1071333
Korba,1336,532,7,Chhattisgarh,CG,1,Bhopal,1071336
Koriya,1337,796,7,Chhattisgarh,CG,1,Bhopal,1071337
Mahasamund,1369,534,7,Chhattisgarh,CG,1,Bhopal,1071369
Mungeli,1403,820,7,Chhattisgarh,CG,1,Bhopal,1071403
Narayanpur,1421,823,7,Chhattisgarh,CG,1,Bhopal,1071421
Raigarh,1484,537,7,Chhattisgarh,CG,1,Bhopal,1071484
Raipur,1485,539,7,Chhattisgarh,CG,1,Bhopal,1071485
Rajnadgaon,1489,541,7,Chhattisgarh,CG,1,Bhopal,1071489
Sukma,1579,542,7,Chhattisgarh,CG,1,Bhopal,1071579
Sukma(New),1580,824,7,Chhattisgarh,CG,1,Bhopal,1071580
Surajpur,1584,545,7,Chhattisgarh,CG,1,Bhopal,1071584
Surguja,1587,825,7,Chhattisgarh,CG,1,Bhopal,1071587
Agar Malawa,1002,815,20,Madhya Pradesh,MP,1,Bhopal,1201002
Alirajpur,1011,448,20,Madhya Pradesh,MP,1,Bhopal,1201011
Anuppur,1029,451,20,Madhya Pradesh,MP,1,Bhopal,1201029
Ashok Nagar,1033,453,20,Madhya Pradesh,MP,1,Bhopal,1201033
Balaghat,1044,458,20,Madhya Pradesh,MP,1,Bhopal,1201044
Barwani,1069,455,20,Madhya Pradesh,MP,1,Bhopal,1201069
Betul,1078,461,20,Madhya Pradesh,MP,1,Bhopal,1201078
Bhind,1086,462,20,Madhya Pradesh,MP,1,Bhopal,1201086
Bhopal,1089,756,20,Madhya Pradesh,MP,1,Bhopal,1201089
Bhuranpur,1090,464,20,Madhya Pradesh,MP,1,Bhopal,1201090
Chhatarpur,1123,467,20,Madhya Pradesh,MP,1,Bhopal,1201123
Chhindwara,1124,469,20,Madhya Pradesh,MP,1,Bhopal,1201124
Damoh,1141,154,20,Madhya Pradesh,MP,1,Bhopal,1201141
Datia,1147,159,20,Madhya Pradesh,MP,1,Bhopal,1201147
Dewas,1154,161,20,Madhya Pradesh,MP,1,Bhopal,1201154
Dhar,1158,165,20,Madhya Pradesh,MP,1,Bhopal,1201158
Dindori,1169,169,20,Madhya Pradesh,MP,1,Bhopal,1201169
Guna,1227,173,20,Madhya Pradesh,MP,1,Bhopal,1201227
Gwalior,1231,176,20,Madhya Pradesh,MP,1,Bhopal,1201231
Harda,1236,179,20,Madhya Pradesh,MP,1,Bhopal,1201236
Hoshangabad,1246,183,20,Madhya Pradesh,MP,1,Bhopal,1201246
Indore,1250,186,20,Madhya Pradesh,MP,1,Bhopal,1201250
Jabalpur,1251,190,20,Madhya Pradesh,MP,1,Bhopal,1201251
Jhabua,1271,195,20,Madhya Pradesh,MP,1,Bhopal,1201271
Jhabua-1(New),1272,869,20,Madhya Pradesh,MP,1,Bhopal,1201272
Katni,1308,204,20,Madhya Pradesh,MP,1,Bhopal,1201308
Khandwa,1314,207,20,Madhya Pradesh,MP,1,Bhopal,1201314
Khargone,1315,212,20,Madhya Pradesh,MP,1,Bhopal,1201315
